timestamp_utc,event,state,district,block,village,year,wqi_value,wqi_class,wqi_range,hhi_value,hhi_class,hhi_range,payload_json,result_json
2026-02-11T03:16:11.869907+00:00,predict_success,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}","{""district"": ""Nilgiris"", ""year"": 2050, ""wqi"": {""class"": ""Moderate"", ""value"": 46.29, ""range"": [45.0, 49.29]}, ""hhi"": {""class"": ""High"", ""value"": 1.77, ""range"": [1.5, 2.07]}, ""trend"": [{""year"": 2045, ""wqi_value"": 46.48, ""hhi_value"": 2.79, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2046, ""wqi_value"": 78.62, ""hhi_value"": 1.03, ""wqi_class"": ""Poor"", ""hhi_class"": ""Medium""}, {""year"": 2047, ""wqi_value"": 86.78, ""hhi_value"": 0.64, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2048, ""wqi_value"": 32.95, ""hhi_value"": 0.19, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2049, ""wqi_value"": 25.98, ""hhi_value"": 1.86, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2050, ""wqi_value"": 46.29, ""hhi_value"": 1.77, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}]}"
2026-02-11T03:16:11.875699+00:00,predict_client,Tamil Nadu,Nilgiris,,,2050,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Nilgiris"", ""year"": ""2050""}",
2026-02-17T12:29:19.990244+00:00,predict_success,Tamil Nadu,Chengalpattu,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Chengalpattu"", ""year"": ""2025""}","{""district"": ""Chengalpattu"", ""year"": 2025, ""wqi"": {""class"": ""Poor"", ""value"": 68.72, ""range"": [64.92, 72.52]}, ""hhi"": {""class"": ""Low"", ""value"": 0.54, ""range"": [0.34, 0.74]}, ""trend"": [{""year"": 2020, ""wqi_value"": 99.14, ""hhi_value"": 1.77, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2021, ""wqi_value"": 31.75, ""hhi_value"": 1.71, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2022, ""wqi_value"": 75.97, ""hhi_value"": 2.56, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2023, ""wqi_value"": 79.89, ""hhi_value"": 1.29, ""wqi_class"": ""Poor"", ""hhi_class"": ""Medium""}, {""year"": 2024, ""wqi_value"": 59.79, ""hhi_value"": 1.15, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Medium""}, {""year"": 2025, ""wqi_value"": 68.72, ""hhi_value"": 0.54, ""wqi_class"": ""Poor"", ""hhi_class"": ""Low""}, {""year"": 2026, ""wqi_value"": 76.37, ""hhi_value"": 1.69, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2027, ""wqi_value"": 10.29, ""hhi_value"": 0.62, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2028, ""wqi_value"": 39.44, ""hhi_value"": 2.26, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2029, ""wqi_value"": 0.11, ""hhi_value"": 1.91, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2030, ""wqi_value"": 4.55, ""hhi_value"": 2.11, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}]}"
2026-02-17T12:29:20.001688+00:00,predict_client,Tamil Nadu,Chengalpattu,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Chengalpattu"", ""year"": ""2025""}",
2026-02-17T13:09:24.895606+00:00,predict_success,Tamil Nadu,Kancheepuram,,,2026,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Kancheepuram"", ""block"": ""Uthiramerur"", ""village"": ""Salavakkam"", ""year"": ""2026""}","{""district"": ""Kancheepuram"", ""block"": ""Uthiramerur"", ""village"": ""Salavakkam"", ""year"": 2026, ""wqi"": {""class"": ""Unfit"", ""value"": 82.19, ""range"": [81.0, 85.99]}, ""hhi"": {""class"": ""Medium"", ""value"": 1.48, ""range"": [1.38, 1.5]}, ""trend"": [{""year"": 2021, ""wqi_value"": 29.32, ""hhi_value"": 2.97, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2022, ""wqi_value"": 44.0, ""hhi_value"": 1.72, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2023, ""wqi_value"": 10.04, ""hhi_value"": 2.17, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2024, ""wqi_value"": 54.96, ""hhi_value"": 0.26, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}, {""year"": 2025, ""wqi_value"": 33.4, ""hhi_value"": 2.43, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2026, ""wqi_value"": 82.19, ""hhi_value"": 1.48, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Medium""}, {""year"": 2027, ""wqi_value"": 81.0, ""hhi_value"": 0.1, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2028, ""wqi_value"": 33.68, ""hhi_value"": 1.56, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2029, ""wqi_value"": 0.0, ""hhi_value"": 0.0, ""wqi_class"": ""Good"", ""hhi_class"": ""Low""}, {""year"": 2030, ""wqi_value"": 56.56, ""hhi_value"": 2.68, ""wqi_class"": ""Moderate"", ""hhi_class"": ""High""}, {""year"": 2031, ""wqi_value"": 28.72, ""hhi_value"": 1.75, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}]}"
2026-02-17T13:09:24.907601+00:00,predict_client,Tamil Nadu,Kancheepuram,,,2026,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Kancheepuram"", ""block"": ""Uthiramerur"", ""village"": ""Salavakkam"", ""year"": ""2026""}",
2026-02-17T13:15:18.841533+00:00,predict_success,Tamil Nadu,Ariyalur,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": ""2025""}","{""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": 2025, ""wqi"": {""class"": ""Unfit"", ""value"": 81.0, ""range"": [81.0, 84.8]}, ""hhi"": {""class"": ""High"", ""value"": 2.18, ""range"": [1.88, 2.48]}, ""trend"": [{""year"": 2020, ""wqi_value"": 70.09, ""hhi_value"": 1.99, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2021, ""wqi_value"": 24.44, ""hhi_value"": 1.33, ""wqi_class"": ""Good"", ""hhi_class"": ""Medium""}, {""year"": 2022, ""wqi_value"": 89.8, ""hhi_value"": 1.65, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2023, ""wqi_value"": 73.9, ""hhi_value"": 2.4, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2024, ""wqi_value"": 81.1, ""hhi_value"": 0.84, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2025, ""wqi_value"": 81.0, ""hhi_value"": 2.18, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2026, ""wqi_value"": 52.48, ""hhi_value"": 1.0, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}, {""year"": 2027, ""wqi_value"": 61.81, ""hhi_value"": 2.98, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2028, ""wqi_value"": 67.44, ""hhi_value"": 0.37, ""wqi_class"": ""Poor"", ""hhi_class"": ""Low""}, {""year"": 2029, ""wqi_value"": 8.27, ""hhi_value"": 1.72, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2030, ""wqi_value"": 75.08, ""hhi_value"": 2.21, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}]}"
2026-02-17T13:15:20.049797+00:00,predict_client,Tamil Nadu,Ariyalur,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": ""2025""}",
2026-02-17T13:15:25.935265+00:00,predict_success,Tamil Nadu,Ariyalur,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": ""2025""}","{""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": 2025, ""wqi"": {""class"": ""Unfit"", ""value"": 81.0, ""range"": [81.0, 84.8]}, ""hhi"": {""class"": ""High"", ""value"": 2.18, ""range"": [1.88, 2.48]}, ""trend"": [{""year"": 2020, ""wqi_value"": 70.09, ""hhi_value"": 1.99, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2021, ""wqi_value"": 24.44, ""hhi_value"": 1.33, ""wqi_class"": ""Good"", ""hhi_class"": ""Medium""}, {""year"": 2022, ""wqi_value"": 89.8, ""hhi_value"": 1.65, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2023, ""wqi_value"": 73.9, ""hhi_value"": 2.4, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2024, ""wqi_value"": 81.1, ""hhi_value"": 0.84, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2025, ""wqi_value"": 81.0, ""hhi_value"": 2.18, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2026, ""wqi_value"": 52.48, ""hhi_value"": 1.0, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}, {""year"": 2027, ""wqi_value"": 61.81, ""hhi_value"": 2.98, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2028, ""wqi_value"": 67.44, ""hhi_value"": 0.37, ""wqi_class"": ""Poor"", ""hhi_class"": ""Low""}, {""year"": 2029, ""wqi_value"": 8.27, ""hhi_value"": 1.72, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2030, ""wqi_value"": 75.08, ""hhi_value"": 2.21, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}]}"
2026-02-17T13:15:27.144652+00:00,predict_client,Tamil Nadu,Ariyalur,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": ""2025""}",
2026-02-17T13:16:40.701130+00:00,predict_success,Tamil Nadu,Ariyalur,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": ""2025""}","{""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": 2025, ""wqi"": {""class"": ""Unfit"", ""value"": 81.0, ""range"": [81.0, 84.8]}, ""hhi"": {""class"": ""High"", ""value"": 2.18, ""range"": [1.88, 2.48]}, ""trend"": [{""year"": 2020, ""wqi_value"": 70.09, ""hhi_value"": 1.99, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2021, ""wqi_value"": 24.44, ""hhi_value"": 1.33, ""wqi_class"": ""Good"", ""hhi_class"": ""Medium""}, {""year"": 2022, ""wqi_value"": 89.8, ""hhi_value"": 1.65, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2023, ""wqi_value"": 73.9, ""hhi_value"": 2.4, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2024, ""wqi_value"": 81.1, ""hhi_value"": 0.84, ""wqi_class"": ""Unfit"", ""hhi_class"": ""Low""}, {""year"": 2025, ""wqi_value"": 81.0, ""hhi_value"": 2.18, ""wqi_class"": ""Unfit"", ""hhi_class"": ""High""}, {""year"": 2026, ""wqi_value"": 52.48, ""hhi_value"": 1.0, ""wqi_class"": ""Moderate"", ""hhi_class"": ""Low""}, {""year"": 2027, ""wqi_value"": 61.81, ""hhi_value"": 2.98, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}, {""year"": 2028, ""wqi_value"": 67.44, ""hhi_value"": 0.37, ""wqi_class"": ""Poor"", ""hhi_class"": ""Low""}, {""year"": 2029, ""wqi_value"": 8.27, ""hhi_value"": 1.72, ""wqi_class"": ""Good"", ""hhi_class"": ""High""}, {""year"": 2030, ""wqi_value"": 75.08, ""hhi_value"": 2.21, ""wqi_class"": ""Poor"", ""hhi_class"": ""High""}]}"
2026-02-17T13:16:41.912870+00:00,predict_client,Tamil Nadu,Ariyalur,,,2025,,,,,,,"{""state"": ""Tamil Nadu"", ""district"": ""Ariyalur"", ""block"": ""Andimadam"", ""village"": ""Alagapuram"", ""year"": ""2025""}",
